scenario,seed,horizon,fpr_s1_th,detected_s1_th,delay_s1_th,fpr_s1_cu,detected_s1_cu,delay_s1_cu,fpr_ewma,detected_ewma,delay_ewma,fpr_s2_th,detected_s2_th,delay_s2_th,fpr_s2_cu,detected_s2_cu,delay_s2_cu,fpr_fuse,detected_fuse,delay_fuse
A1_soc_bias,42,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,118.0,0.0,True,0.0
A1_soc_bias,43,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.011111111111111112,False,,0.011111111111111112,True,0.0
A1_soc_bias,44,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,416.0,0.0,True,0.0
A1_soc_bias,45,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,False,,0.0,True,0.0
A1_soc_bias,46,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.005555555555555556,True,309.0,0.005555555555555556,True,0.0
A1_soc_bias,47,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,49.0,0.0,True,0.0
A1_soc_bias,48,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.05,True,189.0,0.05,True,0.0
A1_soc_bias,49,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,254.0,0.0,True,0.0
A1_soc_bias,50,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,272.0,0.0,True,0.0
A1_soc_bias,51,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,36.0,0.0,True,0.0
A1_soc_bias,52,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,140.0,0.0,True,0.0
A1_soc_bias,53,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,142.0,0.0,True,0.0
A1_soc_bias,54,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,False,,0.0,True,0.0
A1_soc_bias,55,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.06666666666666667,True,519.0,0.06666666666666667,True,0.0
A1_soc_bias,56,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.016666666666666666,True,21.0,0.016666666666666666,True,0.0
A1_soc_bias,57,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,False,,0.0,True,0.0
A1_soc_bias,58,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,False,,0.0,True,0.0
A1_soc_bias,59,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,False,,0.0,True,0.0
A1_soc_bias,60,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.005555555555555556,False,,0.005555555555555556,True,0.0
A1_soc_bias,61,12h,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,241.0,0.0,True,0.0
A2_soc_ramp,42,12h,0.0,False,,0.0,True,39.0,0.0,False,,0.0,False,,0.0,True,118.0,0.0,True,39.0
A2_soc_ramp,43,12h,0.0,False,,0.0,True,37.0,0.0,False,,0.0,False,,0.011111111111111112,False,,0.011111111111111112,True,37.0
A2_soc_ramp,44,12h,0.0,False,,0.0,True,35.0,0.0,False,,0.0,False,,0.0,True,416.0,0.0,True,35.0
A2_soc_ramp,45,12h,0.0,False,,0.0,True,29.0,0.0,False,,0.0,False,,0.0,False,,0.0,True,29.0
A2_soc_ramp,46,12h,0.0,False,,0.0,True,30.0,0.0,False,,0.0,False,,0.005555555555555556,True,309.0,0.005555555555555556,True,30.0
A2_soc_ramp,47,12h,0.0,False,,0.0,True,26.0,0.0,False,,0.0,False,,0.0,True,49.0,0.0,True,26.0
A2_soc_ramp,48,12h,0.0,False,,0.0,True,21.0,0.0,False,,0.0,False,,0.05,True,189.0,0.05,True,21.0
A2_soc_ramp,49,12h,0.0,False,,0.0,True,24.0,0.0,False,,0.0,False,,0.0,True,254.0,0.0,True,24.0
A2_soc_ramp,50,12h,0.0,False,,0.0,True,25.0,0.0,False,,0.0,False,,0.0,True,272.0,0.0,True,25.0
A2_soc_ramp,51,12h,0.0,False,,0.0,True,31.0,0.0,False,,0.0,False,,0.0,True,36.0,0.0,True,31.0
A2_soc_ramp,52,12h,0.0,False,,0.0,True,30.0,0.0,False,,0.0,False,,0.0,True,140.0,0.0,True,30.0
A2_soc_ramp,53,12h,0.0,False,,0.0,True,22.0,0.0,False,,0.0,False,,0.0,True,142.0,0.0,True,22.0
A2_soc_ramp,54,12h,0.0,False,,0.0,True,32.0,0.0,False,,0.0,False,,0.0,False,,0.0,True,32.0
A2_soc_ramp,55,12h,0.0,False,,0.0,True,31.0,0.0,False,,0.0,False,,0.06666666666666667,True,519.0,0.06666666666666667,True,31.0
A2_soc_ramp,56,12h,0.0,False,,0.0,True,33.0,0.0,False,,0.0,False,,0.016666666666666666,True,21.0,0.016666666666666666,True,21.0
A2_soc_ramp,57,12h,0.0,False,,0.0,True,35.0,0.0,False,,0.0,False,,0.0,False,,0.0,True,35.0
A2_soc_ramp,58,12h,0.0,False,,0.0,True,34.0,0.0,False,,0.0,False,,0.0,False,,0.0,True,34.0
A2_soc_ramp,59,12h,0.0,False,,0.0,True,30.0,0.0,False,,0.0,False,,0.0,False,,0.0,True,30.0
A2_soc_ramp,60,12h,0.0,False,,0.0,True,36.0,0.0,False,,0.0,False,,0.005555555555555556,False,,0.005555555555555556,True,36.0
A2_soc_ramp,61,12h,0.0,False,,0.0,True,33.0,0.0,False,,0.0,False,,0.0,True,241.0,0.0,True,33.0
A3_cmd_inject,42,12h,0.0,True,12.0,0.0,True,2.0,0.0,True,13.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,43,12h,0.0,True,45.0,0.0,True,1.0,0.0,True,30.0,0.0,True,0.0,0.011111111111111112,True,0.0,0.011111111111111112,True,0.0
A3_cmd_inject,44,12h,0.0,True,50.0,0.0,True,1.0,0.0,True,38.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,45,12h,0.0,True,21.0,0.0,True,1.0,0.0,True,21.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,46,12h,0.0,True,12.0,0.0,True,2.0,0.0,True,16.0,0.0,True,0.0,0.005555555555555556,True,0.0,0.005555555555555556,True,0.0
A3_cmd_inject,47,12h,0.0,False,,0.0,True,1.0,0.0,True,28.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,48,12h,0.0,True,106.0,0.0,True,1.0,0.0,True,24.0,0.0,True,0.0,0.05,True,0.0,0.05,True,0.0
A3_cmd_inject,49,12h,0.0,True,2.0,0.0,True,1.0,0.0,True,19.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,50,12h,0.0,True,35.0,0.0,True,1.0,0.0,True,15.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,51,12h,0.0,True,66.0,0.0,True,1.0,0.0,True,20.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,52,12h,0.0,True,57.0,0.0,True,1.0,0.0,True,16.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,53,12h,0.0,True,13.0,0.0,True,1.0,0.0,True,13.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,54,12h,0.0,True,6.0,0.0,True,2.0,0.0,True,19.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,55,12h,0.0,True,81.0,0.0,True,2.0,0.0,True,19.0,0.0,True,0.0,0.06666666666666667,True,0.0,0.06666666666666667,True,0.0
A3_cmd_inject,56,12h,0.0,True,16.0,0.0,True,1.0,0.0,True,16.0,0.0,True,0.0,0.016666666666666666,True,0.0,0.016666666666666666,True,0.0
A3_cmd_inject,57,12h,0.0,False,,0.0,True,1.0,0.0,True,25.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,58,12h,0.0,False,,0.0,True,2.0,0.0,True,16.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,59,12h,0.0,True,58.0,0.0,True,1.0,0.0,True,29.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A3_cmd_inject,60,12h,0.0,True,38.0,0.0,True,1.0,0.0,True,23.0,0.0,True,0.0,0.005555555555555556,True,0.0,0.005555555555555556,True,0.0
A3_cmd_inject,61,12h,0.0,True,13.0,0.0,True,1.0,0.0,True,13.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,42,12h,0.0,True,12.0,0.0,True,2.0,0.0,True,13.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,43,12h,0.0,True,45.0,0.0,True,1.0,0.0,True,55.0,0.0,True,0.0,0.011111111111111112,True,0.0,0.011111111111111112,True,0.0
A4_coordinated,44,12h,0.0,False,,0.0,True,1.0,0.0,True,42.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,45,12h,0.0,True,21.0,0.0,True,1.0,0.0,True,31.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,46,12h,0.0,True,12.0,0.0,True,2.0,0.0,True,21.0,0.0,True,0.0,0.005555555555555556,True,0.0,0.005555555555555556,True,0.0
A4_coordinated,47,12h,0.0,False,,0.0,True,1.0,0.0,True,29.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,48,12h,0.0,True,106.0,0.0,True,1.0,0.0,True,28.0,0.0,True,0.0,0.05,True,0.0,0.05,True,0.0
A4_coordinated,49,12h,0.0,True,25.0,0.0,True,1.0,0.0,True,22.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,50,12h,0.0,True,35.0,0.0,True,1.0,0.0,True,28.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,51,12h,0.0,True,66.0,0.0,True,2.0,0.0,True,20.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,52,12h,0.0,True,57.0,0.0,True,1.0,0.0,True,50.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,53,12h,0.0,True,13.0,0.0,True,1.0,0.0,True,13.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
