step,t_min,soc_true,p_batt_true,soc_reported,p_batt_reported,p_load_true,p_load_est,p_grid_true,p_grid_meas,meter_dropout,r1,r2,p_batt_hat,alarm_s1_threshold,alarm_s1_cusum,alarm_s1_ewma,alarm_s2_threshold,alarm_s2_cusum,alarm_s2_ewma,alarm_fuse,attack_active,attack_kind
0,0.0,0.4994736842105263,0.3,0.4986477339845777,0.3048501140223921,0.8,0.8258761720025385,0.5,0.4952818146993521,False,0.0,0.025744243280794277,0.33059435730318637,False,False,False,False,False,False,False,False,A5_stealth_consistent
1,1.0,0.4989473684210526,0.3,0.49961332325427915,0.3037898406857159,0.800654496392712,0.8468990679837372,0.500654496392712,0.443788347970243,False,0.0014985539024834301,0.09932087932777822,0.40311072001349413,False,False,False,False,False,False,False,False,A5_stealth_consistent
2,2.0,0.4984210526315789,0.3,0.4980955401550119,0.31979942456555294,0.8013089803247562,0.9076911866024788,0.5013089803247561,0.4196775468977557,False,-0.0009567314772224262,0.16821421513917018,0.4880136397047231,False,False,False,False,False,False,False,False,A5_stealth_consistent
3,3.0,0.49789473684210517,0.3,0.49721375668068185,0.2792481387288676,0.8019634393357017,0.8826762836356724,0.5019634393357018,0.5169225377654062,False,-0.00039187445901624175,0.0865056071413986,0.3657537458702662,False,False,False,False,False,False,False,False,A5_stealth_consistent
4,4.0,0.49736842105263146,0.3,0.500190827696454,0.27073181568611854,0.8026178609655926,0.7600370783681637,0.5026178609655927,0.5214283345245526,False,0.0034520391134670483,-0.032123071842507456,0.23860874384361108,False,False,False,False,False,False,False,False,A5_stealth_consistent
5,5.0,0.49684210526315775,0.3,0.49512272337606433,0.29544528333971465,0.8032722327551842,0.7719222691404088,0.5032722327551842,0.5229103940355115,False,-0.0045497792618988935,-0.04643340823481734,0.2490118751048973,False,False,False,False,False,False,False,False,A5_stealth_consistent
6,6.0,0.49631578947368404,0.3,0.49766586572713534,0.3043733835817768,0.803926542246181,0.5998119731426116,0.5039265422461809,0.4524397817259885,False,0.003077130743319735,-0.15700119216515368,0.1473721914166231,False,False,False,False,False,False,False,False,A5_stealth_consistent
7,7.0,0.49578947368421034,0.3,0.49657004543285055,0.3072382797891099,0.8045807769814735,0.7804384111196778,0.5045807769814734,0.5122705879988129,False,-0.0005568057683389815,-0.039070456668244935,0.26816782312086496,False,False,False,False,False,False,False,False,A5_stealth_consistent
8,8.0,0.4952631578947366,0.3,0.4950273037584156,0.32056700735290933,0.8052349245053751,0.8039179891478438,0.5052349245053751,0.49173678863984427,False,-0.0009803434159210904,-0.008385806844909749,0.3121812005079996,False,False,False,False,False,False,False,False,A5_stealth_consistent
9,9.0,0.4947368421052629,0.3,0.49508141440097003,0.34434053168592554,0.8058889723638604,0.8199344098138813,0.5058889723638604,0.632821291651646,False,0.0006582168384946705,-0.15722741352369024,0.1871131181622353,False,False,False,False,False,False,False,False,A5_stealth_consistent
10,10.0,0.4942105263157892,0.3,0.49424694931325514,0.29158378062593,0.8065429081048004,0.7369183661950862,0.5065429081048005,0.5915369275253166,False,-0.0003229145953887045,-0.1462023419561604,0.1453814386697696,False,False,False,False,False,False,False,False,A5_stealth_consistent
11,11.0,0.4936842105263155,0.3,0.49360262424423273,0.295415074179526,0.8071967192782016,0.8439965188018738,0.5071967192782016,0.45871657340644445,False,-0.0001260530090583194,0.08986487121590331,0.3852799453954293,False,False,False,False,False,False,False,False,A5_stealth_consistent
12,12.0,0.4931578947368418,0.3,0.49393749812363397,0.3065874566681385,0.8078503934364416,0.8888745141539287,0.5078503934364416,0.5210460031559923,False,0.0008727466103979661,0.06124105432979793,0.36782851099793645,False,False,False,False,False,False,False,False,A5_stealth_consistent
13,13.0,0.4926315789473681,0.3,0.49312526756440694,0.3206359041964827,0.8085039181345066,0.8654060425160767,0.5085039181345066,0.5516096800918615,False,-0.00024971142905775505,-0.006839541772267532,0.31379636242421516,False,False,False,False,False,False,False,False,A5_stealth_consistent
14,14.0,0.4921052631578944,0.3,0.49157620026045407,0.29830515094366383,0.8091572809302285,0.8005669970058829,0.5091572809302285,0.5187835517217081,False,-0.0010257249338762747,-0.016521705659489072,0.28178344528417476,False,False,False,False,False,False,False,False,A5_stealth_consistent
15,15.0,0.49157894736842067,0.3,0.49169055974799347,0.3004724514802377,0.8098104693845215,0.7238664776719864,0.5098104693845216,0.537043773861868,False,0.0006415041392591213,-0.11364974767011926,0.18682270381011845,False,False,False,False,False,False,False,False,A5_stealth_consistent
16,16.0,0.49105263157894696,0.3,0.49109132114589044,0.25481931492079,0.8104634710616189,0.79296117131528,0.5104634710616189,0.5468127695254278,False,-0.0001521871724174395,-0.008670913130937818,0.2461484017898522,False,False,False,False,False,False,False,False,A5_stealth_consistent
17,17.0,0.49052631578947326,0.3,0.49082684685955824,0.28147212015933265,0.8111162735293099,0.8111419228544807,0.51111627352931,0.45803290217837733,False,0.0002293364507894415,0.07163690051677074,0.3531090206761034,False,False,False,False,False,False,False,False,A5_stealth_consistent
18,18.0,0.48999999999999955,0.3,0.489598399821959,0.3350559356182762,0.8117688643591768,0.7467308522907278,0.5117688643591769,0.5550391536671733,False,-0.0006406296066899665,-0.14336423699472167,0.1916916986235545,False,False,False,False,False,False,False,False,A5_stealth_consistent
19,19.0,0.48947368421052584,0.3,0.489609591632317,0.2909994919012313,0.8124212311268307,0.8144562424969344,0.5124212311268308,0.49648115571840906,False,0.0005217172347460941,0.026975594877294007,0.3179750867785253,False,False,False,False,False,False,False,False,A5_stealth_consistent
20,20.0,0.48894736842105213,0.3,0.4886789366369255,0.2989904416033989,0.8130733614121488,0.8664704530914609,0.5130733614121488,0.48596760190141813,False,-0.00040611036099953886,0.08151240958664385,0.38050285119004273,False,False,False,False,False,False,False,False,A5_stealth_consistent
21,21.0,0.4884210526315784,0.3,0.48896105161957176,0.2740183303753141,0.8137252427995104,0.7131276671418721,0.5137252427995105,0.5157137420950262,False,0.0007628488955853897,-0.07660440532846813,0.19741392504684596,False,False,False,False,False,False,False,False,A5_stealth_consistent
22,22.0,0.4878947368421047,0.3,0.48801080064145863,0.30884262571334586,0.8143768628780337,0.7662641214872423,0.5143768628780336,0.600004648985475,False,-0.00040842181019498116,-0.14258315321157855,0.1662594725017673,False,False,False,False,False,False,False,False,A5_stealth_consistent
23,23.0,0.487368421052631,0.3,0.4875837948965194,0.30898860279490553,0.8150282092418115,0.8541897628290979,0.5150282092418115,0.49073763840285817,False,0.00011507952312198055,0.054463521631334166,0.3634521244262397,False,False,False,False,False,False,False,False,A5_stealth_consistent
24,24.0,0.4868421052631573,0.3,0.4871358515385736,0.34603193449055947,0.815679269490148,0.9234600155266398,0.515679269490148,0.5141311342539212,False,0.00015913021133589296,0.06329694678215914,0.4093288812727186,False,False,False,False,False,False,False,False,A5_stealth_consistent
25,25.0,0.4863157894736836,0.3,0.48536874271292724,0.3050427087479389,0.8163300312277947,0.9003928583744402,0.5163300312277948,0.42334598841390236,False,-0.001231946178720138,0.17200416121259893,0.4770468699605378,False,False,False,False,False,False,False,False,A5_stealth_consistent
26,26.0,0.4857894736842099,0.3,0.48630038586438284,0.28745997517062916,0.816980482065186,0.8901376620341761,0.516980482065186,0.45705527048993755,False,0.0014359588973689922,0.1456224163736094,0.43308239154423855,False,False,False,False,False,False,False,False,A5_stealth_consistent
27,27.0,0.4852631578947362,0.3,0.4852409472371719,0.3196772745970389,0.8176306096186757,0.8829048947383148,0.5176306096186758,0.546607116072109,False,-0.0004986013033564637,0.01662050406916693,0.3362977786662058,False,False,False,False,False,False,False,False,A5_stealth_consistent
28,28.0,0.48473684210526247,0.3,0.48373724004263474,0.33204331411520416,0.8182804015107722,0.978485712587622,0.5182804015107723,0.6246168028549691,False,-0.000921175064510511,0.02182559561744868,0.35386890973265284,False,False,False,False,False,False,False,False,A5_stealth_consistent
29,29.0,0.48421052631578876,0.3,0.4833950368644416,0.3332497362569798,0.8189298453703745,0.8476968206529928,0.5189298453703746,0.5371525865398706,False,0.0002424454819067968,-0.022705502143857637,0.31054423411312215,False,False,False,False,False,False,False,False,A5_stealth_consistent
30,30.0,0.48368421052631505,0.3,0.48195148136388566,0.29959735595028614,0.8195789288330078,0.6435206915293338,0.5195789288330077,0.547308671642067,False,-0.0009179461041519045,-0.20338533606301934,0.0962120198872668,False,False,False,False,False,False,False,False,A5_stealth_consistent
31,31.0,0.48315789473684134,0.3,0.483147985761181,0.32020470858764805,0.8202276395410585,0.8653407543330217,0.5202276395410586,0.5481800381724158,False,0.001758267043940347,-0.0030439924270421193,0.3171607161606059,False,False,False,False,False,False,False,False,A5_stealth_consistent
32,32.0,0.48263157894736763,0.3,0.4823790349253217,0.30586187295782885,0.8208759651440098,0.871657063321624,0.5208759651440098,0.44429768284175475,False,-0.0002323510587403187,0.12149750752204036,0.4273593804798692,False,False,False,False,False,False,False,False,A5_stealth_consistent
33,33.0,0.4821052631578939,0.3,0.4818065566481519,0.3004089282270362,0.8215238932986769,0.8773884563669392,0.521523893298677,0.4933374925623412,False,-4.5445069753921575e-05,0.08364203557756178,0.38405096380459797,False,False,False,False,False,False,False,False,A5_stealth_consistent
34,34.0,0.4815789473684202,0.3,0.48199506749900534,0.29365066347875174,0.8221714116694416,0.8620744654902488,0.5221714116694416,0.5405467212209993,False,0.0007036874534477196,0.02787708079049772,0.32152774426924946,False,False,False,False,False,False,False,False,A5_stealth_consistent
35,35.0,0.4810526315789465,0.3,0.48303587535446235,0.28625568882264835,0.8228185079284875,0.610114825196394,0.5228185079284875,0.5103212250146667,False,0.0015430108183037668,-0.186462088640921,0.09979360018172734,False,False,False,False,False,False,False,False,A5_stealth_consistent
36,36.0,0.4805263157894728,0.3,0.4798048751502215,0.3086202846916263,0.8234651697560347,0.8643722459464146,0.5234651697560346,0.606295501769598,False,-0.0026895611082906087,-0.05054354051480969,0.2580767441768166,False,False,False,False,False,False,False,False,A5_stealth_consistent
37,37.0,0.4799999999999991,0.3,0.479667135511762,0.32115249873385715,0.824111384840574,0.847362046508082,0.5241113848405741,0.5760806202437216,False,0.00042568579791565486,-0.04987107246949679,0.27128142626436036,False,False,False,False,False,False,False,False,A5_stealth_consistent
38,38.0,0.4794736842105254,0.3,0.47998211845039274,0.28811030937077764,0.8247571408791017,0.8417384539956524,0.5247571408791016,0.544145357227772,False,0.0008204396217373753,0.009482787397102732,0.29759309676788037,False,False,False,False,False,False,False,False,A5_stealth_consistent
39,39.0,0.4789473684210517,0.3,0.4795972595302436,0.33556964611845375,0.8254024255773538,0.8837018667273011,0.5254024255773537,0.4895749139084836,False,0.00020385975725168456,0.05855730670036374,0.3941269528188175,False,False,False,False,False,False,False,False,A5_stealth_consistent
40,40.0,0.47842105263157797,0.3,0.4779407431096489,0.33036513883787716,0.8260472266500396,0.8546694075999703,0.5260472266500396,0.4865201310537344,False,-0.0010769284577212537,0.03778413770835881,0.36814927654623597,False,False,False,False,False,False,False,False,A5_stealth_consistent
41,41.0,0.47789473684210426,0.3,0.4768248222675456,0.29136241622626313,0.8266915318210764,0.8474695219652434,0.5266915318210763,0.4373962194779727,False,-0.0006047587083730378,0.11871088626100756,0.4100733024872707,False,False,False,False,False,False,False,False,A5_stealth_consistent
42,42.0,0.47736842105263055,0.3,0.47689264864747566,0.29998379334133574,0.8273353288238222,0.8761756496577326,0.5273353288238223,0.5451982422676744,False,0.000594113736669266,0.030993614048722473,0.3309774073900582,False,False,False,False,False,False,False,False,A5_stealth_consistent
43,43.0,0.47684210526315685,0.3,0.47634114854594456,0.32752801121243963,0.8279786054013102,0.9308813801106415,0.5279786054013103,0.43313347840805033,False,2.3110444455636697e-05,0.17021989049015152,0.49774790170259114,False,False,False,False,False,False,False,False,A5_stealth_consistent
44,44.0,0.47631578947368314,0.3,0.47505596713901777,0.3237850281929687,0.8286213493064818,0.9168146461187728,0.5286213493064817,0.5532256094832193,False,-0.0007171374978163227,0.039804008442584804,0.36358903663555353,False,False,False,False,False,False,False,False,A5_stealth_consistent
45,45.0,0.47578947368420943,0.3,0.4755611415831342,0.3071799756420862,0.8292635483024193,0.9781114773686287,0.5292635483024193,0.44026392934388214,False,0.0010440866820849797,0.23066757238266034,0.5378475480247465,False,False,False,False,False,False,False,False,A5_stealth_consistent
46,46.0,0.4752631578947357,0.3,0.4750856020432445,0.30926610357424245,0.8299051901625796,0.8363033012165908,0.5299051901625795,0.5756756081171976,False,6.703257164410083e-05,-0.04863841047484929,0.26062769309939315,False,False,False,False,False,False,False,False,A5_stealth_consistent
