capacity_scale,eta_scale,seed,detected_cusum,delay_cusum,benign_fpr_cusum,benign_fpr_threshold,benign_fpr_ewma
0.95,0.95,47,True,2.0,0.0,0.0,0.0
0.95,0.95,48,True,3.0,0.0,0.0,0.0
0.95,0.95,49,True,3.0,0.0,0.0,0.0
0.95,0.95,50,True,3.0,0.0,0.0,0.0
0.95,0.95,51,True,3.0,0.0,0.0,0.0
0.95,1.0,42,True,3.0,0.0,0.0,0.0
0.95,1.0,43,True,3.0,0.0,0.0,0.0
0.95,1.0,44,True,3.0,0.0,0.0,0.0
0.95,1.0,45,True,3.0,0.0,0.0,0.0
0.95,1.0,46,True,3.0,0.0,0.0,0.0
0.95,1.0,47,True,2.0,0.0,0.0,0.0
0.95,1.0,48,True,3.0,0.0,0.0,0.0
0.95,1.0,49,True,3.0,0.0,0.0,0.0
0.95,1.0,50,True,3.0,0.0,0.0,0.0
0.95,1.0,51,True,3.0,0.0,0.0,0.0
0.95,1.05,42,True,3.0,0.0,0.0,0.0
0.95,1.05,43,True,3.0,0.0,0.0,0.0
0.95,1.05,44,True,3.0,0.0,0.0,0.0
0.95,1.05,45,True,3.0,0.0,0.0,0.0
0.95,1.05,46,True,3.0,0.0,0.0,0.0
0.95,1.05,47,True,2.0,0.0,0.0,0.0
0.95,1.05,48,True,3.0,0.0,0.0,0.0
0.95,1.05,49,True,3.0,0.001388888888888889,0.0,0.0
0.95,1.05,50,True,3.0,0.0,0.0,0.0
0.95,1.05,51,True,3.0,0.0,0.0,0.0
1.0,0.95,42,True,3.0,0.0,0.0,0.0
1.0,0.95,43,True,3.0,0.0,0.0,0.0
1.0,0.95,44,True,3.0,0.0,0.0,0.0
1.0,0.95,45,True,3.0,0.0,0.0,0.0
1.0,0.95,46,True,3.0,0.0,0.0,0.0
1.0,0.95,47,True,2.0,0.0,0.0,0.0
1.0,0.95,48,True,3.0,0.0,0.0,0.0
1.0,0.95,49,True,3.0,0.0,0.0,0.0
1.0,0.95,50,True,3.0,0.0,0.0,0.0
1.0,0.95,51,True,3.0,0.0,0.0,0.0
1.0,1.0,42,True,3.0,0.0,0.0,0.0
1.0,1.0,43,True,3.0,0.0,0.0,0.0
1.0,1.0,44,True,3.0,0.0,0.0,0.0
1.0,1.0,45,True,3.0,0.0,0.0,0.0
1.0,1.0,46,True,3.0,0.0,0.0,0.0
1.0,1.0,47,True,2.0,0.0,0.0,0.0
1.0,1.0,48,True,3.0,0.0,0.0,0.0
1.0,1.0,49,True,3.0,0.0,0.0,0.0
1.0,1.0,50,True,3.0,0.0,0.0,0.0
1.0,1.0,51,True,3.0,0.0,0.0,0.0
1.0,1.05,42,True,3.0,0.0,0.0,0.0
1.0,1.05,43,True,3.0,0.0,0.0,0.0
1.0,1.05,44,True,3.0,0.0,0.0,0.0
1.0,1.05,45,True,3.0,0.0,0.0,0.0
1.0,1.05,46,True,3.0,0.0,0.0,0.0
1.0,1.05,47,True,2.0,0.0,0.0,0.0
1.0,1.05,48,True,3.0,0.0,0.0,0.0
1.0,1.05,49,True,3.0,0.0,0.0,0.0
1.0,1.05,50,True,3.0,0.0,0.0,0.0
1.0,1.05,51,True,3.0,0.0,0.0,0.0
