capacity_scale,eta_scale,seed,detected_cusum,delay_cusum,benign_fpr_cusum,benign_fpr_threshold,benign_fpr_ewma
0.9,0.95,42,True,3.0,0.0,0.0,0.0
0.9,0.95,43,True,3.0,0.0,0.0,0.0
0.9,0.95,44,True,3.0,0.0,0.0,0.0
0.9,0.95,45,True,2.0,0.0,0.0,0.0
0.9,0.95,46,True,3.0,0.0,0.0,0.0
0.9,0.95,47,True,2.0,0.0,0.0,0.0
0.9,0.95,48,True,3.0,0.0,0.0,0.0
0.9,0.95,49,True,3.0,0.0,0.0,0.0
0.9,0.95,50,True,3.0,0.0,0.0,0.0
0.9,0.95,51,True,3.0,0.0,0.0,0.0
0.9,1.0,42,True,3.0,0.027777777777777776,0.0,0.0
0.9,1.0,43,True,3.0,0.03194444444444444,0.0,0.0
0.9,1.0,44,True,3.0,0.008333333333333333,0.0,0.0
0.9,1.0,45,True,3.0,0.03611111111111111,0.0,0.0
0.9,1.0,46,True,3.0,0.006944444444444444,0.0,0.0
0.9,1.0,47,True,2.0,0.025,0.0,0.0
0.9,1.0,48,True,3.0,0.022222222222222223,0.0,0.0
0.9,1.0,49,True,3.0,0.044444444444444446,0.0,0.0
0.9,1.0,50,True,3.0,0.03194444444444444,0.0,0.0
0.9,1.0,51,True,3.0,0.025,0.0,0.0
0.9,1.05,42,True,3.0,0.10833333333333334,0.0,0.0
0.9,1.05,43,True,3.0,0.10972222222222222,0.0,0.0
0.9,1.05,44,True,3.0,0.1,0.0,0.0
0.9,1.05,45,True,3.0,0.10694444444444444,0.0,0.0
0.9,1.05,46,True,3.0,0.10555555555555556,0.0,0.0
0.9,1.05,47,True,2.0,0.10555555555555556,0.0,0.0
0.9,1.05,48,True,3.0,0.10972222222222222,0.0,0.0
0.9,1.05,49,True,3.0,0.10833333333333334,0.0,0.0
0.9,1.05,50,True,3.0,0.10694444444444444,0.0,0.0
0.9,1.05,51,True,3.0,0.10833333333333334,0.0,0.0
0.95,0.95,42,True,3.0,0.0,0.0,0.0
0.95,0.95,43,True,3.0,0.0,0.0,0.0
0.95,0.95,44,True,3.0,0.0,0.0,0.0
0.95,0.95,45,True,3.0,0.0,0.0,0.0
0.95,0.95,46,True,3.0,0.0,0.0,0.0
